name,dem,rep,sum
Adams,4521,8109,12959
Allen,61491,78869,144172
Bartholomew,10608,17417,29155
Benton,1374,1944,3547
Blackford,2012,2433,4657
Boone,8711,17416,27569
Brown,3409,3774,7639
Carroll,3136,4169,7776
Cass,6253,7114,14172
Clark,20134,24343,46026
Clay,4765,5547,10878
Clinton,3876,5412,9853
Crawford,2267,2099,4499
Daviess,4396,5386,10063
Dearborn,6211,14354,21540
Decatur,3182,6479,10277
DeKalb,5848,9583,16002
Delaware,21920,19996,43884
Dubois,6958,10931,18327
Elkhart,26358,38997,67334
Fayette,3664,4574,8690
Floyd,14746,18990,34690
Fountain,2890,3762,7066
Franklin,2859,6970,10268
Fulton,3194,4534,8090
Gibson,6508,7731,14626
Grant,10313,13827,25072
Greene,7307,5486,13143
Hamilton,41762,88070,135097
Hancock,10483,20331,32695
Harrison,6964,9997,17515
Hendricks,22125,40245,65627
Henry,8277,9439,19017
Howard,16550,17811,36167
Huntington,5212,9623,15352
Jackson,6377,9613,16638
Jasper,5055,6987,12454
Jay,3183,4326,7857
Jefferson,5610,6715,12728
Jennings,4028,5653,10139
Johnson,18271,36168,57694
Knox,9911,5031,15195
Kosciusko,8303,20530,29752
La Porte,24190,16164,42009
LaGrange,3257,5654,9266
Lake,122324,55776,181685
Lawrence,6830,10094,17664
Madison,25393,24052,52217
Marion,210119,129501,357193
Marshall,7112,9901,17611
Martin,2050,2471,4719
Miami,4985,6892,12644
Monroe,33628,20176,56220
Montgomery,5522,8147,14454
Morgan,9297,17082,28090
Newton,2287,3015,5555
Noble,6047,9405,16000
Ohio,1086,1556,2752
Orange,3273,4114,7638
Owen,3456,4164,8097
Parke,2821,3372,6510
Perry,4524,3132,7824
Pike,3066,2661,5890
Porter,40154,29503,71866
Posey,5344,6457,12117
Pulaski,2189,2809,5213
Putnam,5309,7558,13732
Randolph,3939,5709,10102
Ripley,3224,7018,10800
Rush,2370,4120,6960
Scott,4287,4069,8610
Shelby,5995,9650,16729
Spencer,4385,5059,9659
St. Joseph,59411,47182,109491
Starke,4291,3828,8456
Steuben,5314,7777,13601
Sullivan,5179,2948,8345
Switzerland,1489,1666,3284
Tippecanoe,27669,25749,56349
Tipton,2752,4136,7289
Union,940,1963,3048
Vanderburgh,32869,36529,71369
Vermillion,3639,2617,6582
Vigo,22992,15013,39533
Wabash,4512,7622,12612
Warren,1579,2013,3780
Warrick,10031,13655,24275
Washington,4108,6130,10621
Wayne,10267,13895,25425
Wells,3999,8518,12872
White,4281,5032,9883
Whitley,5209,9085,14787
